player_id,name,country,position,age,club,matches_played,minutes_played,goals,assists,expected_goals_xg,shots_on_target,passes_completed,pass_accuracy_pct,tackles_won,interceptions,yellow_cards,red_cards,goals_per_90,assists_per_90,goal_contributions_per_90,shots_on_target_per_90
1,Kylian Mbappe,France,FW,27,Real Madrid,7,640,10,4,8.45,24,210,84.2,3,1,1,0,1.40625,0.5625,1.9687499999999998,3.375
2,Lionel Messi,Argentina,FW,39,Inter Miami,7,660,8,4,6.8,18,340,86.5,2,0,0,0,1.0909090909090908,0.5454545454545454,1.6363636363636362,2.4545454545454546
3,Jude Bellingham,England,MF,23,Real Madrid,7,630,7,1,5.2,12,385,88.4,14,8,2,0,1.0,0.14285714285714285,1.1428571428571428,1.7142857142857144
4,Erling Haaland,Norway,FW,26,Manchester City,5,450,7,0,6.1,16,65,74.1,1,0,0,0,1.4,0.0,1.4,3.2
5,Ousmane Dembele,France,FW,29,Paris Saint-Germain,7,580,6,2,4.9,14,195,79.5,4,2,1,0,0.9310344827586207,0.3103448275862069,1.2413793103448276,2.1724137931034484
6,Harry Kane,England,FW,33,Bayern Munich,7,620,6,1,5.6,13,180,81.0,5,3,1,0,0.8709677419354839,0.14516129032258066,1.0161290322580645,1.8870967741935485
7,Mikel Oyarzabal,Spain,FW,29,Real Sociedad,7,510,5,1,4.1,11,160,82.3,6,4,0,0,0.8823529411764706,0.1764705882352941,1.0588235294117647,1.9411764705882353
8,Ismaila Sarr,Senegal,FW,28,Crystal Palace,4,360,4,1,3.4,9,92,76.4,3,2,1,0,1.0,0.25,1.25,2.25
9,Julian Quinones,Mexico,FW,29,Al-Qadsiah,4,330,4,1,3.2,8,88,78.0,2,1,0,0,1.0909090909090908,0.2727272727272727,1.3636363636363638,2.1818181818181817
10,Vinicius Junior,Brazil,FW,26,Real Madrid,5,430,4,1,3.85,10,142,80.1,4,1,2,0,0.8372093023255813,0.20930232558139533,1.0465116279069768,2.0930232558139537
11,Bukayo Saka,England,FW,24,Arsenal,6,490,3,3,2.9,8,175,83.7,8,5,0,0,0.5510204081632653,0.5510204081632653,1.1020408163265305,1.469387755102041
12,Deniz Undav,Germany,FW,30,VfB Stuttgart,4,210,3,2,2.4,7,54,77.5,1,1,0,0,1.2857142857142856,0.8571428571428572,2.142857142857143,3.0
13,Johan Manzambi,Switzerland,MF,20,SC Freiburg,4,240,3,2,2.1,5,98,84.0,5,3,1,0,1.125,0.75,1.875,1.875
14,Romelu Lukaku,Belgium,FW,33,Napoli,4,310,3,1,2.8,8,62,72.3,0,0,1,0,0.8709677419354839,0.2903225806451613,1.1612903225806452,2.3225806451612905
15,Lautaro Martinez,Argentina,FW,28,Inter Milan,7,420,3,1,3.15,9,110,79.8,5,2,1,0,0.6428571428571428,0.2142857142857143,0.8571428571428572,1.9285714285714286
16,Charles De Ketelaere,Belgium,FW,25,Atalanta,4,320,3,1,2.3,6,105,81.5,4,3,0,0,0.84375,0.28125,1.125,1.6875
17,Cody Gakpo,Netherlands,FW,27,Liverpool,5,410,3,1,2.65,7,128,82.1,3,2,0,0,0.6585365853658537,0.21951219512195122,0.8780487804878049,1.5365853658536586
18,Bradley Barcola,France,FW,23,Paris Saint-Germain,6,390,3,1,2.5,8,115,83.0,3,1,0,0,0.6923076923076923,0.23076923076923078,0.9230769230769231,1.8461538461538463
19,Brian Brobbey,Netherlands,FW,24,Ajax,4,220,3,0,2.1,6,48,75.0,2,0,1,0,1.2272727272727273,0.0,1.2272727272727273,2.4545454545454546
20,Elijah Just,New Zealand,MF,26,SK St. Pölten,3,270,3,0,1.9,5,112,80.2,4,2,0,0,1.0,0.0,1.0,1.6666666666666665
21,Matheus Cunha,Brazil,FW,27,Wolverhampton,4,290,3,0,2.4,7,85,78.9,4,3,1,0,0.9310344827586207,0.0,0.9310344827586207,2.1724137931034484
22,Folarin Balogun,USA,FW,25,AS Monaco,4,310,3,0,2.55,8,70,76.5,1,1,0,0,0.8709677419354839,0.0,0.8709677419354839,2.3225806451612905
23,Raul Jimenez,Mexico,FW,35,Fulham,4,310,3,0,2.35,7,64,74.8,2,2,0,0,0.8709677419354839,0.0,0.8709677419354839,2.032258064516129
24,Kai Havertz,Germany,FW,27,Arsenal,4,340,3,0,2.7,7,102,81.2,6,4,1,0,0.7941176470588235,0.0,0.7941176470588235,1.8529411764705883
25,Yoane Wissa,DR Congo,FW,29,Brentford,4,360,3,0,2.45,8,78,77.1,3,2,0,0,0.75,0.0,0.75,2.0
26,Ismael Saibari,Morocco,MF,25,PSV Eindhoven,5,370,3,0,2.25,6,145,85.3,7,4,1,0,0.7297297297297298,0.0,0.7297297297297298,1.4594594594594597
27,Jonathan David,Canada,FW,26,Lille,4,360,3,0,2.8,9,90,79.4,2,1,0,0,0.75,0.0,0.75,2.25
28,Cristiano Ronaldo,Portugal,FW,41,Al-Nassr,5,420,3,0,3.1,11,95,83.2,0,0,1,0,0.6428571428571428,0.0,0.6428571428571428,2.357142857142857
29,Crysencio Summerville,Netherlands,FW,24,West Ham,4,250,2,2,1.85,5,76,80.0,3,2,0,0,0.72,0.72,1.44,1.8
30,Breel Embolo,Switzerland,FW,29,AS Monaco,5,410,2,2,2.2,6,82,76.8,4,2,1,0,0.43902439024390244,0.43902439024390244,0.8780487804878049,1.3170731707317074
31,Leandro Trossard,Belgium,FW,31,Arsenal,4,330,2,2,1.95,5,115,84.1,4,2,0,0,0.5454545454545454,0.5454545454545454,1.0909090909090908,1.3636363636363638
32,Soufiane Rahimi,Morocco,FW,30,Al Ain,4,210,2,1,1.6,4,58,78.2,2,1,0,0,0.8571428571428572,0.4285714285714286,1.2857142857142856,1.7142857142857144
33,Nicolas Pepe,Ivory Coast,FW,31,Villarreal,4,240,2,1,1.75,5,69,79.5,3,2,0,0,0.75,0.375,1.125,1.875
34,Pape Gueye,Senegal,MF,27,Villarreal,4,320,2,1,1.4,3,168,87.6,11,7,2,0,0.5625,0.28125,0.84375,0.84375
35,Maxi Araujo,Uruguay,MF,26,Sporting CP,4,310,2,1,1.55,4,124,82.0,8,5,1,0,0.5806451612903226,0.2903225806451613,0.8709677419354839,1.1612903225806452
36,Riyad Mahrez,Algeria,FW,35,Al-Ahli,4,340,2,1,1.8,5,142,83.9,2,1,0,0,0.5294117647058824,0.2647058823529412,0.7941176470588235,1.3235294117647058
37,Ramin Rezaeian,Iran,DF,36,Esteglal,3,270,2,1,1.1,3,135,79.0,7,6,1,0,0.6666666666666667,0.33333333333333337,1.0,1.0
